,Patterns,Support
0,368,7821
1,529,7053
2,829,6802
3,766,6259
4,722,5839
5,354,5830
6,684,5404
7,217,5369
8,494,5097
9,419,5051
10,692,4985
11,120,4969
12,883,4899
13,937,4677
14,177,4627
15,145,4554
16,438,4508
17,460,4434
18,362,4386
19,789,4301
20,39,4254
21,32,4246
22,470,4135
23,682,4130
24,283,4077
25,914,4036
26,538,3981
27,966,3918
28,183,3881
29,720,3859
30,775,3767
31,541,3735
32,919,3706
33,947,3688
34,888,3684
35,401,3665
36,862,3649
37,956,3623
38,205,3602
39,71,3504
40,346,3468
41,489,3418
42,12,3414
43,895,3381
44,795,3358
45,510,3277
46,598,3216
47,75,3146
48,614,3129
49,487,3129
50,798,3099
51,8,3087
52,825,3083
53,350,3068
54,793,3063
55,886,3052
56,509,3044
57,885,3039
58,279,3014
59,918,3007
60,675,2975
61,381,2957
62,581,2939
63,571,2901
64,471,2892
65,597,2879
66,758,2859
67,72,2850
68,854,2846
69,694,2843
70,548,2841
71,569,2834
72,844,2810
73,871,2806
74,631,2793
75,944,2792
76,526,2791
77,175,2789
78,561,2783
79,93,2774
80,782,2765
81,57,2741
82,239,2739
83,960,2732
84,522,2723
85,676,2716
86,998,2710
87,661,2692
88,390,2683
89,140,2683
90,797,2682
91,112,2678
92,21,2666
93,606,2664
94,132,2638
95,413,2637
96,653,2632
97,274,2626
98,236,2615
99,617,2613
100,151,2610
101,593,2600
102,285,2594
103,54,2593
104,752,2574
105,674,2525
106,778,2514
107,634,2489
108,276,2477
109,48,2471
110,78,2468
111,477,2461
112,921,2425
113,392,2419
114,70,2410
115,38,2401
116,788,2386
117,69,2368
118,663,2352
119,242,2323
120,161,2318
121,480,2307
122,780,2303
123,638,2287
124,229,2280
125,523,2243
126,803,2236
127,874,2236
128,296,2209
129,116,2191
130,73,2178
131,744,2176
132,204,2173
133,27,2164
134,809,2163
135,579,2163
136,6,2147
137,334,2143
138,738,2129
139,472,2123
140,280,2106
141,620,2100
142,196,2095
143,970,2085
144,387,2084
145,450,2081
146,832,2062
147,878,2047
148,411,2047
149,774,2045
150,349,2036
151,826,2021
152,373,2007
153,210,2006
154,192,2002
155,35,1983
156,746,1982
157,52,1979
158,55,1957
159,893,1945
160,440,1943
161,913,1939
162,897,1933
163,841,1925
164,706,1922
165,800,1914
166,214,1891
167,449,1889
168,658,1879
169,90,1874
170,763,1862
171,332,1860
172,427,1852
173,623,1843
174,227,1817
175,853,1802
176,110,1800
177,704,1793
178,290,1791
179,932,1786
180,805,1786
181,115,1774
182,975,1763
183,687,1761
184,984,1755
185,923,1753
186,100,1748
187,935,1739
188,45,1726
189,403,1722
190,43,1721
191,130,1709
192,765,1704
193,910,1695
194,577,1695
195,967,1694
196,275,1692
197,735,1689
198,17,1683
199,385,1675
200,814,1670
201,580,1667
202,887,1666
203,31,1664
204,605,1652
205,884,1644
206,982,1639
207,351,1638
208,673,1635
209,740,1631
210,769,1620
211,51,1610
212,68,1599
213,343,1596
214,572,1588
215,857,1587
216,521,1582
217,952,1574
218,639,1572
219,85,1554
220,129,1547
221,486,1546
222,516,1544
223,981,1541
224,168,1538
225,1,1532
226,534,1531
227,185,1529
228,867,1529
229,405,1525
230,630,1521
231,995,1521
232,259,1519
233,964,1517
234,812,1517
235,594,1515
236,469,1502
237,461,1496
238,686,1495
239,641,1493
240,326,1487
241,208,1481
242,846,1478
243,820,1472
244,736,1468
245,97,1466
246,950,1462
247,198,1461
248,33,1459
249,28,1454
250,162,1450
251,424,1447
252,294,1445
253,154,1445
254,500,1444
255,611,1444
256,906,1444
257,890,1437
258,496,1428
259,143,1415
260,234,1414
261,949,1414
262,423,1412
263,308,1400
264,240,1398
265,4,1394
266,25,1391
267,310,1390
268,583,1389
269,147,1383
270,834,1371
271,319,1371
272,448,1368
273,265,1359
274,815,1358
275,707,1354
276,41,1353
277,946,1350
278,10,1349
279,335,1343
280,618,1337
281,576,1334
282,58,1329
283,678,1328
284,963,1327
285,749,1327
286,804,1315
287,792,1305
288,504,1296
289,574,1296
290,665,1296
291,649,1292
292,540,1291
293,989,1289
294,578,1289
295,651,1288
296,513,1287
297,125,1285
298,701,1283
299,810,1267
300,991,1267
301,530,1263
302,309,1261
303,784,1257
304,819,1256
305,163,1256
306,860,1255
307,422,1254
308,899,1252
309,37,1249
310,859,1241
311,591,1241
312,718,1237
313,181,1233
314,197,1230
315,573,1229
316,348,1225
317,843,1221
318,207,1214
319,170,1203
320,550,1203
321,94,1201
322,517,1200
323,716,1199
324,600,1191
325,527,1184
326,111,1170
327,900,1165
328,988,1164
329,515,1164
330,104,1158
331,414,1158
332,322,1154
333,378,1149
334,948,1149
335,377,1148
336,394,1145
337,733,1141
338,978,1141
339,357,1141
340,157,1140
341,688,1131
342,941,1125
343,458,1123
344,992,1116
345,554,1113
346,361,1104
347,628,1102
348,567,1101
349,105,1100
350,171,1097
351,5,1093
352,790,1092
353,708,1090
354,468,1089
355,122,1080
356,173,1079
357,126,1075
358,632,1070
359,336,1070
360,490,1066
361,563,1065
362,546,1050
363,710,1043
364,429,1036
365,258,1035
366,928,1033
367,823,1031
368,366,1030
369,201,1029
370,266,1020
371,325,1020
372,428,1020
373,511,1014
374,912,1008
375,368 829,1192
376,368 682,1192
377,829 789,1193
378,722 390,1041
379,217 346,1334
380,39 825,1186
381,39 704,1106
382,825 704,1101
383,390 227,1048
384,39 825 704,1034
