,Patterns,Support
0,912,1008
1,511,1014
2,266,1020
3,325,1020
4,428,1020
5,201,1029
6,366,1030
7,823,1031
8,928,1033
9,258,1035
10,429,1036
11,710,1043
12,546,1050
13,563,1065
14,490,1066
15,632,1070
16,336,1070
17,126,1075
18,173,1079
19,122,1080
20,468,1089
21,708,1090
22,790,1092
23,5,1093
24,171,1097
25,105,1100
26,567,1101
27,628,1102
28,361,1104
29,554,1113
30,992,1116
31,458,1123
32,941,1125
33,688,1131
34,157,1140
35,733,1141
36,978,1141
37,357,1141
38,394,1145
39,377,1148
40,378,1149
41,948,1149
42,322,1154
43,104,1158
44,414,1158
45,988,1164
46,515,1164
47,900,1165
48,111,1170
49,527,1184
50,600,1191
51,716,1199
52,517,1200
53,94,1201
54,170,1203
55,550,1203
56,207,1214
57,843,1221
58,348,1225
59,573,1229
60,197,1230
61,181,1233
62,718,1237
63,859,1241
64,591,1241
65,37,1249
66,899,1252
67,422,1254
68,860,1255
69,819,1256
70,163,1256
71,784,1257
72,309,1261
73,530,1263
74,810,1267
75,991,1267
76,701,1283
77,125,1285
78,513,1287
79,651,1288
80,989,1289
81,578,1289
82,540,1291
83,649,1292
84,504,1296
85,574,1296
86,665,1296
87,792,1305
88,804,1315
89,963,1327
90,749,1327
91,678,1328
92,58,1329
93,576,1334
94,618,1337
95,335,1343
96,10,1349
97,946,1350
98,41,1353
99,707,1354
100,815,1358
101,265,1359
102,448,1368
103,834,1371
104,319,1371
105,147,1383
106,583,1389
107,310,1390
108,25,1391
109,4,1394
110,240,1398
111,308,1400
112,423,1412
113,234,1414
114,949,1414
115,143,1415
116,496,1428
117,890,1437
118,500,1444
119,611,1444
120,906,1444
121,294,1445
122,154,1445
123,424,1447
124,162,1450
125,28,1454
126,33,1459
127,198,1461
128,950,1462
129,97,1466
130,736,1468
131,820,1472
132,846,1478
133,208,1481
134,326,1487
135,641,1493
136,686,1495
137,461,1496
138,469,1502
139,594,1515
140,964,1517
141,812,1517
142,259,1519
143,630,1521
144,995,1521
145,405,1525
146,185,1529
147,867,1529
148,534,1531
149,1,1532
150,168,1538
151,981,1541
152,516,1544
153,486,1546
154,129,1547
155,85,1554
156,639,1572
157,952,1574
158,521,1582
159,857,1587
160,572,1588
161,343,1596
162,68,1599
163,51,1610
164,769,1620
165,740,1631
166,673,1635
167,351,1638
168,982,1639
169,884,1644
170,605,1652
171,31,1664
172,887,1666
173,580,1667
174,814,1670
175,385,1675
176,17,1683
177,735,1689
178,275,1692
179,967,1694
180,910,1695
181,577,1695
182,765,1704
183,130,1709
184,43,1721
185,403,1722
186,45,1726
187,935,1739
188,100,1748
189,923,1753
190,984,1755
191,687,1761
192,975,1763
193,115,1774
194,932,1786
195,805,1786
196,290,1791
197,704,1793
198,110,1800
199,853,1802
200,227,1817
201,623,1843
202,427,1852
203,332,1860
204,763,1862
205,90,1874
206,658,1879
207,449,1889
208,214,1891
209,800,1914
210,706,1922
211,841,1925
212,897,1933
213,913,1939
214,440,1943
215,893,1945
216,55,1957
217,52,1979
218,746,1982
219,35,1983
220,192,2002
221,210,2006
222,373,2007
223,826,2021
224,349,2036
225,774,2045
226,878,2047
227,411,2047
228,832,2062
229,450,2081
230,387,2084
231,970,2085
232,196,2095
233,620,2100
234,280,2106
235,472,2123
236,738,2129
237,334,2143
238,6,2147
239,809,2163
240,579,2163
241,27,2164
242,204,2173
243,744,2176
244,73,2178
245,116,2191
246,296,2209
247,803,2236
248,874,2236
249,523,2243
250,229,2280
251,638,2287
252,780,2303
253,480,2307
254,161,2318
255,242,2323
256,663,2352
257,69,2368
258,788,2386
259,38,2401
260,70,2410
261,392,2419
262,921,2425
263,477,2461
264,78,2468
265,48,2471
266,276,2477
267,634,2489
268,778,2514
269,674,2525
270,752,2574
271,54,2593
272,285,2594
273,593,2600
274,151,2610
275,617,2613
276,236,2615
277,274,2626
278,653,2632
279,413,2637
280,132,2638
281,606,2664
282,21,2666
283,112,2678
284,797,2682
285,390,2683
286,140,2683
287,661,2692
288,998,2710
289,676,2716
290,522,2723
291,960,2732
292,239,2739
293,57,2741
294,782,2765
295,93,2774
296,561,2783
297,175,2789
298,526,2791
299,944,2792
300,631,2793
301,871,2806
302,844,2810
303,569,2834
304,548,2841
305,694,2843
306,854,2846
307,72,2850
308,758,2859
309,597,2879
310,471,2892
311,571,2901
312,581,2939
313,381,2957
314,675,2975
315,918,3007
316,279,3014
317,885,3039
318,509,3044
319,886,3052
320,793,3063
321,350,3068
322,825,3083
323,8,3087
324,798,3099
325,614,3129
326,487,3129
327,75,3146
328,598,3216
329,510,3277
330,795,3358
331,895,3381
332,12,3414
333,489,3418
334,346,3468
335,71,3504
336,205,3602
337,956,3623
338,862,3649
339,401,3665
340,888,3684
341,947,3688
342,919,3706
343,541,3735
344,775,3767
345,720,3859
346,183,3881
347,966,3918
348,538,3981
349,914,4036
350,283,4077
351,682,4130
352,470,4135
353,32,4246
354,39,4254
355,789,4301
356,362,4386
357,460,4434
358,438,4508
359,145,4554
360,177,4627
361,937,4677
362,883,4899
363,120,4969
364,692,4985
365,419,5051
366,494,5097
367,217,5369
368,684,5404
369,354,5830
370,722,5839
371,766,6259
372,829,6802
373,529,7053
374,368,7821
375,704 825,1101
376,704 39,1106
377,704 825 39,1034
378,227 390,1048
379,390 722,1041
380,825 39,1186
381,346 217,1334
382,682 368,1192
383,789 829,1193
384,829 368,1192
