,Patterns,Support
0,368,7821
1,529,7053
2,829,6802
3,766,6259
4,722,5839
5,354,5830
6,684,5404
7,217,5369
8,494,5097
9,419,5051
10,692,4985
11,120,4969
12,883,4899
13,937,4677
14,177,4627
15,145,4554
16,438,4508
17,460,4434
18,362,4386
19,789,4301
20,39,4254
21,32,4246
22,470,4135
23,682,4130
24,283,4077
25,914,4036
26,538,3981
27,966,3918
28,183,3881
29,720,3859
30,775,3767
31,541,3735
32,919,3706
33,947,3688
34,888,3684
35,401,3665
36,862,3649
37,956,3623
38,205,3602
39,71,3504
40,346,3468
41,489,3418
42,12,3414
43,895,3381
44,795,3358
45,510,3277
46,598,3216
47,75,3146
48,614,3129
49,487,3129
50,798,3099
51,8,3087
52,825,3083
53,350,3068
54,793,3063
55,886,3052
56,509,3044
57,885,3039
58,279,3014
59,918,3007
60,675,2975
61,381,2957
62,581,2939
63,571,2901
64,471,2892
65,597,2879
66,758,2859
67,72,2850
68,854,2846
69,694,2843
70,548,2841
71,569,2834
72,844,2810
73,871,2806
74,631,2793
75,944,2792
76,526,2791
77,175,2789
78,561,2783
79,93,2774
80,782,2765
81,57,2741
82,239,2739
83,960,2732
84,522,2723
85,676,2716
86,998,2710
87,661,2692
88,390,2683
89,140,2683
90,797,2682
91,112,2678
92,21,2666
93,606,2664
94,132,2638
95,413,2637
96,653,2632
97,274,2626
98,236,2615
99,617,2613
