,Patterns,Support
0,912,1008
1,511,1014
2,266,1020
3,325,1020
4,428,1020
5,201,1029
6,366,1030
7,823,1031
8,928,1033
9,258,1035
10,429,1036
11,710,1043
12,546,1050
13,563,1065
14,490,1066
15,632,1070
16,336,1070
17,126,1075
18,173,1079
19,122,1080
20,468,1089
21,708,1090
22,790,1092
23,5,1093
24,171,1097
25,105,1100
26,567,1101
27,628,1102
28,361,1104
29,554,1113
30,992,1116
31,458,1123
32,941,1125
33,688,1131
34,157,1140
35,733,1141
36,978,1141
37,357,1141
38,394,1145
39,377,1148
40,378,1149
41,948,1149
42,322,1154
43,104,1158
44,414,1158
45,988,1164
46,515,1164
47,900,1165
48,111,1170
49,527,1184
50,600,1191
51,716,1199
52,517,1200
53,94,1201
54,170,1203
55,550,1203
56,207,1214
57,843,1221
58,348,1225
59,573,1229
60,197,1230
61,181,1233
62,718,1237
63,859,1241
64,591,1241
65,37,1249
66,899,1252
67,422,1254
68,860,1255
69,819,1256
70,163,1256
71,784,1257
72,309,1261
73,530,1263
74,810,1267
75,991,1267
76,701,1283
77,125,1285
78,513,1287
79,651,1288
80,989,1289
81,578,1289
82,540,1291
83,649,1292
84,504,1296
85,574,1296
86,665,1296
87,792,1305
88,804,1315
89,963,1327
90,749,1327
91,678,1328
92,58,1329
93,576,1334
94,618,1337
95,335,1343
96,10,1349
97,946,1350
98,41,1353
99,707,1354
100,815,1358
101,265,1359
102,448,1368
103,834,1371
104,319,1371
105,147,1383
106,583,1389
107,310,1390
108,25,1391
109,4,1394
110,240,1398
111,308,1400
112,423,1412
113,234,1414
114,949,1414
115,143,1415
116,496,1428
117,890,1437
118,500,1444
119,611,1444
120,906,1444
121,294,1445
122,154,1445
123,424,1447
124,162,1450
125,28,1454
126,33,1459
127,198,1461
128,950,1462
129,97,1466
130,736,1468
131,820,1472
132,846,1478
133,208,1481
134,326,1487
135,641,1493
136,686,1495
137,461,1496
138,469,1502
139,594,1515
140,964,1517
141,812,1517
142,259,1519
143,630,1521
144,995,1521
145,405,1525
146,185,1529
147,867,1529
148,534,1531
149,1,1532
150,168,1538
151,981,1541
152,516,1544
153,486,1546
154,129,1547
155,85,1554
156,639,1572
157,952,1574
158,521,1582
159,857,1587
160,572,1588
161,343,1596
162,68,1599
163,51,1610
164,769,1620
165,740,1631
166,673,1635
167,351,1638
168,982,1639
169,884,1644
170,605,1652
171,31,1664
172,887,1666
173,580,1667
174,814,1670
175,385,1675
176,17,1683
177,735,1689
178,275,1692
179,967,1694
180,910,1695
181,577,1695
182,765,1704
183,130,1709
184,43,1721
185,403,1722
186,45,1726
187,935,1739
188,100,1748
189,923,1753
190,984,1755
191,687,1761
192,975,1763
193,115,1774
194,932,1786
195,805,1786
196,290,1791
197,704,1793
198,704 825,1101
199,704 825 39,1034
200,704 39,1106
201,110,1800
202,853,1802
203,227,1817
204,227 390,1048
205,623,1843
206,427,1852
207,332,1860
208,763,1862
209,90,1874
210,658,1879
211,449,1889
212,214,1891
213,800,1914
214,706,1922
215,841,1925
216,897,1933
217,913,1939
218,440,1943
219,893,1945
220,55,1957
221,52,1979
222,746,1982
223,35,1983
224,192,2002
225,210,2006
226,373,2007
227,826,2021
228,349,2036
229,774,2045
230,878,2047
231,411,2047
232,832,2062
233,450,2081
234,387,2084
235,970,2085
236,196,2095
237,620,2100
238,280,2106
239,472,2123
240,738,2129
241,334,2143
242,6,2147
243,809,2163
244,579,2163
245,27,2164
246,204,2173
247,744,2176
248,73,2178
249,116,2191
250,296,2209
251,803,2236
252,874,2236
253,523,2243
254,229,2280
255,638,2287
256,780,2303
257,480,2307
258,161,2318
259,242,2323
260,663,2352
261,69,2368
262,788,2386
263,38,2401
264,70,2410
265,392,2419
266,921,2425
267,477,2461
268,78,2468
269,48,2471
270,276,2477
271,634,2489
272,778,2514
273,674,2525
274,752,2574
275,54,2593
276,285,2594
277,593,2600
278,151,2610
279,617,2613
280,236,2615
281,274,2626
282,653,2632
283,413,2637
284,132,2638
285,606,2664
286,21,2666
287,112,2678
288,797,2682
289,390,2683
290,390 722,1041
291,140,2683
292,661,2692
293,998,2710
294,676,2716
295,522,2723
296,960,2732
297,239,2739
298,57,2741
299,782,2765
300,93,2774
301,561,2783
302,175,2789
303,526,2791
304,944,2792
305,631,2793
306,871,2806
307,844,2810
308,569,2834
309,548,2841
310,694,2843
311,854,2846
312,72,2850
313,758,2859
314,597,2879
315,471,2892
316,571,2901
317,581,2939
318,381,2957
319,675,2975
320,918,3007
321,279,3014
322,885,3039
323,509,3044
324,886,3052
325,793,3063
326,350,3068
327,825,3083
328,825 39,1186
329,8,3087
330,798,3099
331,614,3129
332,487,3129
333,75,3146
334,598,3216
335,510,3277
336,795,3358
337,895,3381
338,12,3414
339,489,3418
340,346,3468
341,346 217,1334
342,71,3504
343,205,3602
344,956,3623
345,862,3649
346,401,3665
347,888,3684
348,947,3688
349,919,3706
350,541,3735
351,775,3767
352,720,3859
353,183,3881
354,966,3918
355,538,3981
356,914,4036
357,283,4077
358,682,4130
359,682 368,1192
360,470,4135
361,32,4246
362,39,4254
363,789,4301
364,789 829,1193
365,362,4386
366,460,4434
367,438,4508
368,145,4554
369,177,4627
370,937,4677
371,883,4899
372,120,4969
373,692,4985
374,419,5051
375,494,5097
376,217,5369
377,684,5404
378,354,5830
379,722,5839
380,766,6259
381,829,6802
382,829 368,1192
383,529,7053
384,368,7821
