11 148 254  #SUP: 6281
148 155 218  #SUP: 6283
3 6 7 11 218  #SUP: 6286
1 90 218  #SUP: 6303
1 6 11 446  #SUP: 6288
473  #SUP: 6291
1 6 7 11 148 218  #SUP: 6287
148 218 273  #SUP: 6317
7 934  #SUP: 6336
11 644  #SUP: 6402
1 6 364  #SUP: 6305
148 364  #SUP: 6305
3 7 205  #SUP: 6301
1 155  #SUP: 6291
1 7 11 148 218  #SUP: 6290
3 897  #SUP: 6333
6 148 316  #SUP: 6323
6 83 85 86  #SUP: 6354
11 218 254  #SUP: 6399
1 148 987  #SUP: 6485
6 11 640  #SUP: 6413
11 514  #SUP: 6317
7 83 85 86  #SUP: 6357
6 45  #SUP: 6318
6 11 662  #SUP: 6374
1 11 987  #SUP: 6313
1 6 27 218  #SUP: 6384
1 6 205  #SUP: 6341
6 11 260  #SUP: 6313
1 6 11 987  #SUP: 6291
3 7 11 218  #SUP: 6307
1 11 446  #SUP: 6349
3 27 205  #SUP: 6385
1 4 6 11  #SUP: 6339
3 314  #SUP: 6392
6 7 11 321  #SUP: 6359
1 11 273  #SUP: 6356
11 86  #SUP: 6483
11 662  #SUP: 6458
6 27 77  #SUP: 6614
6 11 73  #SUP: 6585
6 83 86  #SUP: 6483
6 11 506  #SUP: 6510
6 11 218 254  #SUP: 6386
1 6 11 273  #SUP: 6323
6 11 218 273  #SUP: 6389
3 6 7 148  #SUP: 6394
6 265  #SUP: 6359
11 640  #SUP: 6515
6 148 155  #SUP: 6386
233  #SUP: 6468
6 11 86  #SUP: 6427
6 492  #SUP: 6329
11 27 32  #SUP: 6408
1 364  #SUP: 6393
1 6 148 987  #SUP: 6378
6 11 670  #SUP: 6703
11 260  #SUP: 6330
6 148 254  #SUP: 6725
6 7 83 85 86  #SUP: 6336
6 11 644  #SUP: 6312
6 56 218  #SUP: 6596
632  #SUP: 6444
7 138  #SUP: 7375
6 11 135 148  #SUP: 6543
6 71  #SUP: 6393
6 218 438  #SUP: 6495
148 316  #SUP: 6437
6 11 27 32  #SUP: 6359
1 11 55  #SUP: 6608
6 1025  #SUP: 6579
135 148 218  #SUP: 6508
3 6 11 446  #SUP: 6475
11 85  #SUP: 6730
6 218 229  #SUP: 6367
6 91  #SUP: 6959
494  #SUP: 7507
218 438  #SUP: 6508
218 446  #SUP: 6502
4 218  #SUP: 6648
3 11 303  #SUP: 6811
6 148 218 254  #SUP: 6617
218 316  #SUP: 7082
6 522  #SUP: 6543
11 777  #SUP: 6579
1 3 4  #SUP: 6617
6 11 40 148  #SUP: 6642
6 135 148 218  #SUP: 6486
435  #SUP: 6397
7 11 321  #SUP: 6402
3 6 490  #SUP: 6347
45  #SUP: 6581
11 218 273  #SUP: 6403
1 4 11  #SUP: 6781
1838  #SUP: 6465
6 7 83 86  #SUP: 6423
6 491  #SUP: 6929
6 11 1644  #SUP: 7082
11 521  #SUP: 6811
1 3 64  #SUP: 6656
11 40 148  #SUP: 6659
3 6 11 205  #SUP: 6883
11 281  #SUP: 6529
6 155 218  #SUP: 6788
1 11 316  #SUP: 7083
6 7 11 85  #SUP: 6586
531  #SUP: 7052
83 86  #SUP: 6519
1 6 269  #SUP: 6460
6 148 512  #SUP: 6601
6 11 230  #SUP: 6966
3 6 11 303  #SUP: 6704
3 504  #SUP: 6401
2 6 218  #SUP: 6746
7 11 27 278  #SUP: 6914
11 218 512  #SUP: 6427
6 218 446  #SUP: 6360
3 6 737  #SUP: 6781
6 11 138 148  #SUP: 6830
6 218 316  #SUP: 6897
6 7 11 27 148 218  #SUP: 7018
6 148 218 512  #SUP: 6386
218 229  #SUP: 6419
3 11 135  #SUP: 6827
3 6 135  #SUP: 7676
148 218 254  #SUP: 6700
6 83 148 218  #SUP: 6570
3 273  #SUP: 7465
1 11 136  #SUP: 7744
6 531  #SUP: 6729
514  #SUP: 7402
6 25 148 218  #SUP: 7658
3 6 7 87  #SUP: 6816
6 7 11 27 278  #SUP: 6866
3 6 273  #SUP: 6665
6 11 777  #SUP: 6549
6 993  #SUP: 6457
6 27 28 32  #SUP: 6989
6 11 281  #SUP: 6504
