Stfartro_Id;Ημερομηνία;Παραστατικό;Αριθμός;Κωδικός Είδους;Περιγραφή είδους
10.000.006,00;22/1/2013;71Π;361,00;054.01.06.003;ΑΡΟΥΤΟΞ ΜΠΑΙΤ 250 ΓΡ.
11.000.002,00;25/1/2013;71Π_A;123,00;054.01.06.004;ΑΡΟΥΤΟΞ ΜΠΑΙΤ 500 ΓΡ.
11.000.006,00;26/1/2013;62Π_A;2.923,00;005.01.02.013;ΚΟΡΑΤΖΕΝ 20SL 200 Κ.ΕΚ.
11.000.007,00;26/1/2013;62Π_A;2.924,00;005.01.02.013;ΚΟΡΑΤΖΕΝ 20SL 200 Κ.ΕΚ.
11.000.008,00;28/1/2013;62Π_A;2.925,00;005.01.02.013;ΚΟΡΑΤΖΕΝ 20SL 200 Κ.ΕΚ.
11.000.010,00;30/1/2013;62Π_A;2.926,00;054.01.06.005;ΑΡΟΥΤΟΞ ΜΠΑΙΤ 1 ΚΙΛΟΥ
11.000.010,00;30/1/2013;62Π_A;2.926,00;017.01.02.002;ΝΤΕΣΙΣ 2,5EC 100 Κ.ΕΚ.
11.000.010,00;30/1/2013;62Π_A;2.926,00;003.01.03.011;ΚΟΣΑΙΤ 2000 35WG 200 ΓΡ.
11.000.010,00;30/1/2013;62Π_A;2.926,00;002.01.06.010;ΣΤΟΡΜ 0,005%RB ΠΕΛΛΕΤΣ 200 ΓΡ.
11.000.010,00;30/1/2013;62Π_A;2.926,00;003.01.05.001;ΣΑΝ ΟΙΛ 11Ε 98,8EC 1 ΛΙΤΡΟΥ
11.000.010,00;30/1/2013;62Π_A;2.926,00;002.01.06.001;ΣΤΟΡΜ (ΚΗΡΩΔΗ ΤΕΜ. 4 ΓΡ.) 112 ΓΡ.
11.000.010,00;30/1/2013;62Π_A;2.926,00;054.01.06.004;ΑΡΟΥΤΟΞ ΜΠΑΙΤ 500 ΓΡ.
11.000.009,00;30/1/2013;71Π_A;124,00;002.01.06.001;ΣΤΟΡΜ (ΚΗΡΩΔΗ ΤΕΜ. 4 ΓΡ.) 112 ΓΡ.
11.000.012,00;31/1/2013;62Π_A;2.927,00;008.04.51.006;ΕΝΤΕΚ (15-15-15+5S) 50 ΚΙΛΩΝ
10.000.007,00;31/1/2013;71Π;362,00;002.01.06.001;ΣΤΟΡΜ (ΚΗΡΩΔΗ ΤΕΜ. 4 ΓΡ.) 112 ΓΡ.
11.000.017,00;4/2/2013;62Π_A;2.928,00;054.01.06.004;ΑΡΟΥΤΟΞ ΜΠΑΙΤ 500 ΓΡ.
11.000.018,00;4/2/2013;62Π_A;2.929,00;005.01.02.013;ΚΟΡΑΤΖΕΝ 20SL 200 Κ.ΕΚ.
10.000.008,00;4/2/2013;71Π;363,00;007.01.03.004;ΜΠΟΡΝΤ 20WP 1 ΚΙΛΟΥ
11.000.016,00;4/2/2013;71Π_A;125,00;003.01.03.011;ΚΟΣΑΙΤ 2000 35WG 200 ΓΡ.
11.000.019,00;7/2/2013;71Π_A;126,00;017.01.02.002;ΝΤΕΣΙΣ 2,5EC 100 Κ.ΕΚ.
