Stfartro_Id;Ημερομηνία;Παραστατικό;Αριθμός;Κωδικός Είδους;Περιγραφή είδους
140.383.572,00;7/1/2019;83Π;1,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.573,00;7/1/2019;83Π;2,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.574,00;7/1/2019;83Π;3,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.580,00;19/1/2019;83Π;4,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.581,00;19/1/2019;83Π;5,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.582,00;19/1/2019;83Π;6,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.583,00;19/1/2019;83Π;7,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.584,00;22/1/2019;62Π;1,00;029.05.57.006;ΛΙΠ.ΜΠΟΡΟ-Ν  ΚΟΚ.25 ΚΙΛΩΝ
148.383.572,00;28/1/2019;62Π_Α;1,00;066.01.03.009;ΚΟΥΠΡΟΞΑΤ 19SC 5 ΛΙΤΡΩΝ
148.383.572,00;28/1/2019;62Π_Α;1,00;015.01.03.003;ΣΚΑΜΠΙΑΛ 76WG 1 ΚΙΛΟΥ
148.383.573,00;29/1/2019;62Π_Α;2,00;018.02.25.003;ΚΡΙΘΑΡΙ ΠΡΕΣΤΙΖ R2 25 ΚΙΛΩΝ
148.383.573,00;29/1/2019;62Π_Α;2,00;008.04.51.030;ΕΝΤΕΚ (20-20-0+2S) 40 ΚΙΛΩΝ
148.383.573,00;29/1/2019;62Π_Α;2,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.573,00;29/1/2019;62Π_Α;2,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.577,00;1/2/2019;41Π_ΕΣΑ;1,00;099.03.53.005;ΛΙΠ.ΟΥΡΙΑ (46-0-0) 40 ΚΙΛΩΝ
148.383.578,00;1/2/2019;41Π_ΕΣΑ;1,00;099.03.53.005;ΛΙΠ.ΟΥΡΙΑ (46-0-0) 40 ΚΙΛΩΝ
148.383.577,00;1/2/2019;41Π_ΕΣΑ;1,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.578,00;1/2/2019;41Π_ΕΣΑ;1,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.577,00;1/2/2019;41Π_ΕΣΑ;1,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.578,00;1/2/2019;41Π_ΕΣΑ;1,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.592,00;1/2/2019;62Π;2,00;013.03.53.002;ΛΙΠ.ΠΑΤΕΝΤΚΑΛΙ(0-0-30+10MgΟ)25ΚΙΛΩΝ
140.383.592,00;1/2/2019;62Π;2,00;099.03.53.005;ΛΙΠ.ΟΥΡΙΑ (46-0-0) 40 ΚΙΛΩΝ
140.383.592,00;1/2/2019;62Π;2,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
140.383.592,00;1/2/2019;62Π;2,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.592,00;1/2/2019;62Π;2,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.576,00;1/2/2019;62Π_Α;3,00;066.01.03.005;ΚΟΥΠΡΟΞΑΤ 19SC 3 ΛΙΤΡΩΝ
148.383.576,00;1/2/2019;62Π_Α;3,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
148.383.576,00;1/2/2019;62Π_Α;3,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.598,00;5/2/2019;62Π;4,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.599,00;5/2/2019;62Π;5,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.600,00;5/2/2019;62Π;6,00;029.05.57.005;ΛΙΠ.ΘΕΙΙΚΟΣ ΨΕΥΔΑΡΓΥΡΟΣ  ΚΡΥΣΤ.  25 ΚΙΛΩΝ
140.383.602,00;5/2/2019;62Π;7,00;066.01.03.009;ΚΟΥΠΡΟΞΑΤ 19SC 5 ΛΙΤΡΩΝ
148.383.579,00;5/2/2019;62Π_Α;4,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
140.383.605,00;6/2/2019;83Π;8,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.606,00;6/2/2019;83Π;9,00;099.08.99.022;ΣΥΝΤ. ΦΑΚΕΛ. Β & Γ ΔΟΣΗΣ ΝΕΩΝ ΑΓΡΟΤΩΝ
140.383.608,00;7/2/2019;62Π;8,00;027.01.03.001;ΖΙΡΑΦΙΝ 76 WG 200 ΓΡ.
140.383.608,00;7/2/2019;62Π;8,00;066.01.02.014;ΝΤΕΛΤΑΘΡΙΝ 2,5 EC 500 Κ.ΕΚ.
