Stfartro_Id;Παραστατικό;Αριθμός;Κωδικός Είδους;Αξία έκπτωσης εξαγωγών
9.643,00;1ΤΔΑ;1,00;ΣΤ.ΜΑΣΚ.001;0,00
9.643,00;1ΤΔΑ;1,00;ΣΤ.ΜΑΣΚ.018;0,00
9.643,00;1ΤΔΑ;1,00;ΑΝ.ΑΦΡΟ.031;0,00
9.643,00;1ΤΔΑ;1,00;ΧΠ.ΜΑΣΚ.008;0,00
9.643,00;1ΤΔΑ;1,00;ΛΗ.ΔΙΑΦ.006;0,00
9.643,00;1ΤΔΑ;1,00;ΧΠ.ΜΑΚΙ.001;43,41
9.643,00;1ΤΔΑ;1,00;ΧΠ.ΜΑΚΙ.003;28,08
9.643,00;1ΤΔΑ;1,00;ΚΑ.ΑΔΥΝ.020;0,00
9.643,00;1ΤΔΑ;1,00;ΒΛ.ΒΑΦΕ.032;0,00
9.643,00;1ΤΔΑ;1,00;XO.ΑΦΡΛ.001;12,77
9.643,00;1ΤΔΑ;1,00;KM.ΜΑΚΙ.017;14,35
9.643,00;1ΤΔΑ;1,00;ΤΣ.ΜΑΣΚ.001;4,62
9.643,00;1ΤΔΑ;1,00;KM.ΑΔΥΝ.004;0,00
9.644,00;1ΤΔΑ;2,00;ΣΜ.ΔΙΑΦ.006;0,00
9.644,00;1ΤΔΑ;2,00;KM.ΑΔΥΝ.004;0,00
9.645,00;1ΤΔΑ;3,00;ΣΤ.ΜΑΣΚ.023;0,00
9.645,00;1ΤΔΑ;3,00;ΤΣ.ΚΟΛΩ.657;0,00
9.645,00;1ΤΔΑ;3,00;ΑΝ.ΑΦΡΟ.054;0,00
9.645,00;1ΤΔΑ;3,00;ΣΤ.ΜΑΣΚ.006;0,00
9.645,00;1ΤΔΑ;3,00;ΣΤ.ΜΑΣΚ.022;0,00
9.645,00;1ΤΔΑ;3,00;ΤΣ.ΚΟΛΩ.663;0,00
9.645,00;1ΤΔΑ;3,00;ΜΧ.ΚΟΛΩ.007;0,00
9.645,00;1ΤΔΑ;3,00;ΤΣ.ΜΑΣΚ.003;0,00
9.645,00;1ΤΔΑ;3,00;ΤΣ.ΚΟΛΩ.326;0,00
9.645,00;1ΤΔΑ;3,00;ΑΝ.ΑΔΥΝ.017;0,00
9.645,00;1ΤΔΑ;3,00;ΑΝ.ΑΦΡΟ.032;0,00
9.646,00;1ΤΔΑ;4,00;ΧΠ.ΜΑΚΙ.003;0,00
