ΕΡΓ.0011;ΕΡΓ.0020;ΕΡΓ.0031;ΕΡΓ.0039;ΕΡΓ.0045;ΕΡΓ.0055;ΕΡΓ.0057;ΕΡΓ.0066;ΕΡΓ.0070;ΕΡΓ.0088;ΕΡΓ.0124;ΕΡΓ.0128;ΕΡΓ.0134;ΕΡΓ.0142;ΕΡΓ.0154;ΕΡΓ.0155;ΕΡΓ.0156;ΕΡΓ.0164;ΕΡΓ.0191;ΕΡΓ.0197;ΕΡΓ.0216;ΕΡΓ.0224;ΕΡΓ.0244;ΕΡΓ.0273;ΕΡΓ.0278;ΕΡΓ.0368;ΕΡΓ.0451;ΕΡΓ.0469;ΕΡΓ.0502;ΕΡΓ.0512;ΕΡΓ.0529;ΕΡΓ.0597;ΕΡΓ.0603;ΕΡΓ.0612;ΕΡΓ.0653;ΕΡΓ.0656;ΕΡΓ.0723;ΕΡΓ.0782;ΕΡΓ.0879;ΕΡΓ.0889;ΕΡΓ.0942;ΕΡΓ.0959;ΕΡΓ.0975;ΕΡΓ.0993;ΕΡΓ.1052;ΕΡΓ.1099;ΕΡΓ.1165;ΕΡΓ.1169;ΕΡΓ.1185;ΕΡΓ.1295;ΕΡΓ.1381;ΕΡΓ.1544;ΕΡΓ.1592;ΕΡΓ.1737;ΕΡΓ.1740;ΕΡΓ.1763;ΕΡΓ.1764;ΕΡΓ.1773;ΕΡΓ.1774;ΕΡΓ.1775;ΕΡΓ.1776;ΕΡΓ.1778;ΕΡΓ.1779;ΕΡΓ.1781;ΕΡΓ.1784;ΕΡΓ.1785;ΕΡΓ.1787;ΕΡΓ.1791;ΕΡΓ.1800;ΕΡΓ.1801;ΕΡΓ.1806;ΕΡΓ.1807;ΕΡΓ.1808;ΕΡΓ.1811;ΕΡΓ.1812;ΕΡΓ.1813;ΕΡΓ.1816;ΕΡΓ.1826;ΖΩΑ.0002;ΖΩΑ.0005;ΖΩΑ.0007;ΖΩΑ.0008;ΖΩΑ.0009;ΖΩΑ.0013;ΖΩΑ.0019;ΖΩΑ.0024;ΖΩΑ.0034;ΖΩΑ.0037;ΖΩΑ.0038;ΖΩΟ.0001;ΖΩΟ.0002;ΖΩΟ.0003;ΖΩΟ.0004;ΖΩΟ.0006;ΖΩΟ.0007;ΖΩΟ.0010;ΖΩΟ.0013;ΖΩΟ.0015;ΖΩΟ.0022;ΖΩΟ.0023;ΖΩΟ.0024;ΖΩΟ.0028;ΖΩΟ.0029;ΖΩΟ.0030;ΖΩΟ.0034;ΖΩΟ.0037;ΖΩΟ.0038;ΖΩΟ.0040;ΖΩΟ.0041;ΖΩΟ.0042;ΖΩΟ.0043;ΖΩΟ.0045;ΖΩΟ.0047;ΖΩΟ.0049;ΖΩΟ.0052;ΖΩΟ.0056;ΖΩΟ.0059;ΖΩΟ.0062;ΖΩΟ.0063;ΖΩΟ.0065;ΖΩΟ.0067;ΛΙΠ.0010;ΛΙΠ.0015;ΛΙΠ.0018;ΛΙΠ.0031;ΛΙΠ.0045;ΛΙΠ.0065;ΛΙΠ.0074;ΛΙΠ.0078;ΛΙΠ.0081;ΛΙΠ.0134;ΛΙΠ.0138;ΛΙΠ.0156;ΛΙΠ.0158;ΛΙΠ.0160;ΛΙΠ.0163;ΛΙΠ.0167;ΛΙΠ.0168;ΣΠΟ.0031;ΣΠΟ.0224;ΣΠΟ.0309;ΣΠΟ.0312;ΣΠΟ.0317;ΣΠΟ.0318;ΣΠΟ.0324;ΣΠΟ.0329;ΣΠΟ.0337;ΣΠΟ.0338;ΣΠΟ.0343;ΣΠΟ.0344;ΣΠΟ.0346;ΣΠΟ.0350;ΣΠΟ.0351;ΣΠΟ.0355;ΣΠΟ.0357;ΣΠΟ.0358;ΣΠΟ.0364;ΦΑΡ.1021;ΦΑΡ.1678;ΦΑΡ.1742;ΦΑΡ.1777;ΦΑΡ.1782;ΦΑΡ.1789;ΦΑΡ.1797;ΦΑΡ.1800
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;1;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
