,Title,Model,Fuel,Engine,Transmission_type,Location,Price
0,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
1,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
2,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
3,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
4,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
5,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
6,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
7,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
8,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
9,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
10,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
11,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
12,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
13,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
14,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
15,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
16,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
17,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
18,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
19,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
20,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
21,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
22,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
23,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
24,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
25,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
26,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
27,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
28,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
29,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
30,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
31,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
32,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
33,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
34,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
35,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
36,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
37,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
38,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
39,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
40,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
41,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
42,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
43,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
44,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
45,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
46,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
47,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
48,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
49,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
50,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
51,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
52,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
53,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
54,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
55,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
56,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
57,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
58,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
59,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
