name,AvgOfDistinctValuesPerCol,AvgOfDistinctValuesOverAll,AvgOfDistinctValuesPerRow,FreqoFTop1FreqValue,FreqoFTop2FreqValue,FreqoFTop3FreqValue,NumberOfColumns,FreqOfIntegerCol,FreqOfNumberCol,FreqOfDateCol,FreqOfStringCol,FreqOfBoolCol,MinItemLen,MaxItemLen,AvgItemLen,Freq1CharColumns,Freq2ValuesItemColumns,hasHeader,datasetType,type2Words
0abalone.data,0.375111,0.248222,0.997333,0.046,0.0442222,0.0208889,9,0.111111,0.777778,0,0.111111,0,1,6,4.07667,0.111111,0,0,0,0
0academic_detail.csv,0.292824,0.291667,0.972222,0.111111,0.0555556,0.0555556,4,0.25,0,0,0.75,0,3,29,8.63194,0,0,1,0,0
0All_Data_Aldi.csv,0.21225,0.20525,0.99225,0.125,0.125,0.1025,8,0.125,0.25,0,0.5,0.125,1,55,9.8405,0,0.375,1,0,0
0apple_quality.csv,0.889333,0.889333,1,0.0562222,0.0548889,0.000222222,9,0.111111,0.777778,0,0.111111,0,1,12,9.554,0,0.111111,1,0,0
0beer.csv,0.273333,0.242222,0.986667,0.0622222,0.0611111,0.0555556,6,0.166667,0.666667,0,0.166667,0,1,13,4.20889,0,0,1,0,0
0books_data.csv,0.643678,0.609195,0.998851,0.12069,0.0218391,0.016092,6,0.166667,0.166667,0,0.666667,0,1,72,9.5569,0,0,1,0,0
0CarSales01.csv,0.1575,0.1575,1,0.114,0.105,0.06275,8,0.25,0,0,0.75,0,1,49,10.877,0,0.125,1,0,0
0chord-fingers.csv,0.276,0.276,1,0.0536,0.0504,0.0328,5,0,0,0,1,0,1,19,7.2772,0,0,1,0,0
0classification_in_asteroseismology.csv,0.5685,0.568,0.999,0.174,0.077,0.0065,4,0,0.75,0,0,0.25,1,9,5.1415,0.25,0.25,1,0,0
0COVID-19 Coronavirus.csv,0.88,0.781778,0.906667,0.0257778,0.0217778,0.0213333,10,0.5,0.1,0,0.4,0,1,52,6.88267,0,0,1,0,0
0data_balita.csv,0.253,0.253,1,0.25,0.25,0.1305,4,0,0.25,0,0.5,0.25,1,16,8.307,0.25,0.5,1,0,0
0ETH-USD_data.csv,1,0.989,0.990333,0.000666667,0.000666667,0.000666667,6,0.166667,0.666667,0.166667,0,0,6,11,10.4893,0,0,1,0,0
0Fake02.csv,0.308333,0.292,0.929667,0.150333,0.017,0.01,6,0.5,0,0,0.333333,0.166667,1,20,4.149,0.166667,0.166667,1,0,0
0Fake04.csv,0.165143,0.154,0.571429,0.138286,0.0891429,0.0857143,7,0.142857,0.714286,0.142857,0,0,1,10,6.45629,0,0,1,0,0
0Fake04_1.csv,0.19,0.181,0.530333,0.104,0.0866667,0.075,6,0,0,0,1,0,3,20,8.147,0,0,0,0,0
0fakeNews.csv,0.5615,0.5615,1,0.25,0.0045,0.0045,4,0,0,0.25,0.75,0,4,6942,642.601,0,0.25,1,0,0
0field_of_study.csv,0.264,0.26,0.9355,0.048,0.0445,0.033,4,0.25,0,0,0.75,0,3,52,14.5065,0,0,1,0,0
