name,AvgOfDistinctValuesPerCol,AvgOfDistinctValuesOverAll,AvgOfDistinctValuesPerRow,FreqoFTop1FreqValue,FreqoFTop2FreqValue,FreqoFTop3FreqValue,NumberOfColumns,FreqOfIntegerCol,FreqOfNumberCol,FreqOfDateCol,FreqOfStringCol,FreqOfBoolCol,MinItemLen,MaxItemLen,AvgItemLen,Freq1CharColumns,Freq2ValuesItemColumns,hasHeader,datasetType,type2Words
0canada_per_capita.csv,1,1,1,0.0106383,0.0106383,0.0106383,2,0.5,0.5,0,0,0,4,11,7.44681,0,0,1,0,0
0Customer.csv,0.338222,0.338222,1,0.111111,0.0575556,0.0351111,9,0.222222,0,0,0.777778,0,2,20,8.06978,0,0.111111,1,0,0
0daily-min-temperatures.csv,0.671,0.671,1,0.009,0.009,0.008,2,0,0.5,0.5,0,0,3,10,6.842,0,0,1,0,0
0daily-total-female-births-CA.csv,0.553425,0.553425,1,0.0383562,0.0328767,0.030137,2,0.5,0,0.5,0,0,2,10,6,0,0,1,0,0
0fish_catches.csv,0.132769,0.0686154,0.544462,0.477077,0.0769231,0.0769231,13,0.692308,0,0,0.307692,0,1,11,1.94554,0,0.153846,1,0,0
0House_Price.csv,0.522632,0.403263,0.950947,0.0816842,0.0235789,0.0192632,19,0.0526316,0.789474,0,0.052632,0.105263,1,14,4.66579,0,0.105263,1,0,0
0Movie_classification.csv,0.508526,0.424421,0.995474,0.0290526,0.0289474,0.0238947,19,0.210526,0.631579,0,0.052632,0.105263,1,9,4.73074,0.0526316,0.105263,1,0,1
0Movie_regression.xls,0.536556,0.447889,0.995333,0.0306667,0.0248889,0.0203333,18,0.222222,0.666667,0,0.055556,0.0555556,1,9,4.938,0,0.0555556,1,0,1
0promoters.data,0.669811,0.669811,0.833333,0.166667,0.00314465,0.00314465,3,0,0,0,1,0,1,57,21.0377,0,0.333333,1,0,0
0shampoo.csv,1,1,1,0.0138889,0.0138889,0.0138889,2,0,0.5,0,0.5,0,4,5,4.5,0,0,1,0,0
0us-airlines-monthly-aircraft-miles-flown.csv,1,1,1,0.00520833,0.00520833,0.00520833,2,0.5,0,0.5,0,0,4,7,5.77604,0,0,1,0,0
0Video_Games_Sales_as_at_22_Dec_2016.csv,0.303,0.218875,0.877375,0.0225,0.015875,0.0155,16,0.25,0.375,0,0.375,0,1,64,6.06637,0,0,1,0,0
2customer_shopping_data.csv,0.2972,0.2972,1,0.06,0.0428,0.04,10,0.2,0.1,0.1,0.6,0,1,17,6.4928,0.1,0.1,1,2,4
2dairy_dataset.csv,0.534261,0.460522,0.990522,0.0242609,0.0161739,0.0153913,23,0.217391,0.347826,0.130435,0.304348,0,1,20,6.27452,0,0,1,2,8
2Fashion_Retail_Sales.csv,0.243,0.242667,0.955,0.086,0.0806667,0.00633333,6,0.333333,0.166667,0.166667,0.333333,0,3,13,5.93267,0,0.166667,1,2,2
2pizza_sales.csv,0.190833,0.149667,0.917333,0.0823333,0.0361667,0.0361667,12,0.25,0.166667,0.166667,0.416667,0,1,93,11.9917,0,0,1,2,4
2retail_sales_dataset.csv,0.299333,0.284222,0.971778,0.0568889,0.0542222,0.0395556,9,0.555556,0,0.111111,0.333333,0,1,11,4.61089,0.111111,0.111111,1,2,3
2Sample - Superstore.csv,0.356,0.350095,0.999619,0.047619,0.0279048,0.0272381,21,0.142857,0.142857,0.0952381,0.619048,0,1,110,9.92962,0,0.047619,1,2,7
2scanner_data.csv,0.434,0.3595,0.998,0.1095,0.06075,0.0365,8,0.375,0.25,0.125,0.25,0,1,10,4.3,0,0,1,2,2
2supermarket_sales.csv,0.411765,0.345059,0.934235,0.0588235,0.0304706,0.0298824,17,0.0588235,0.411765,0.117647,0.411765,0,1,22,6.68224,0.0588235,0.176471,1,2,4
2Supermart Grocery Sales - Retail Analytics Dataset.csv,0.323455,0.323273,1,0.0909091,0.0283636,0.028,11,0.0909091,0.181818,0.0909091,0.636364,0,3,18,7.06909,0,0.0909091,1,2,3
2train.csv,0.358222,0.353444,0.999556,0.0555556,0.0325556,0.0317778,18,0.111111,0.0555556,0.111111,0.722222,0,1,109,11.0951,0,0.0555556,1,2,6
3Bakery Sales.csv,0.0528889,0.0487407,0.184148,0.101407,0.0188889,0.00755556,27,0.888889,0,0.037037,0.074074,0,2,16,3.57778,0,0.407407,1,3,0
3customer_shopping_data.csv,0.004,0.0005,0.25,0.875,0.125,0,8,0,0,0,1,0,1,1,1,1,1,1,3,0
3dairy_dataset.csv,0.004,0.0004,0.2,0.7022,0.2978,0,10,0,0,0,0,1,1,1,1,1,1,1,3,0
3Fashion_Retail_Sales.csv,0.0120482,0.000240964,0.04,0.665904,0.334096,0,50,0,0,0,1,0,1,1,1,1,1,1,3,0
3pizza_sales.csv,0.002,0.0000625,0.03125,0.0701875,0,0,32,0,0,0,1,0,1,3,2.85963,0,1,1,3,0
3scanner_data.csv,0.00436513,0.00200076,0.00238077,0.997359,0.000640977,0.000000381534,5242,0,0,0,1,0,1,8,1.008,0,0.817436,1,3,0
3xrayfull.csv,0.066375,0.063125,0.2285,0.806375,0.068625,0.0455,16,0,0,0,0.125,0.875,1,16,2.16287,0.875,0.875,1,3,0
43house-votes-84.csv,0.0045977,0.000574713,0.187069,0.452874,0.443391,0.0383621,16,0,0,0,0.0625,0.9375,3,10,3.36078,0,1,1,4,0
43nih_labels.csv,0.072381,0.064,0.396952,0.625619,0.0581905,0.0346667,21,0.0952381,0,0,0.238095,0.666667,1,16,3.47752,0.047619,0.761905,1,4,0
4Cardiovascular_Disease_Dataset.csv,0.159429,0.136714,0.622,0.243143,0.233143,0.079,14,0.642857,0.0714286,0,0,0.285714,1,7,2.039,0.571429,0.285714,1,4,0
4car_prices.csv,0.23475,0.222125,0.9645,0.0625,0.060125,0.05225,16,0.3125,0,0.0625,0.625,0,1,50,9.265,0,0.125,1,4,0
4fish_catches.csv,0.132769,0.0686154,0.544462,0.477077,0.0769231,0.0769231,13,0.692308,0,0,0.307692,0,1,11,1.94554,0,0.153846,1,4,0
4house-votes-84.csv,0.0045977,0.000574713,0.187069,0.452874,0.443391,0.0383621,16,0,0,0,0.0625,0.9375,3,10,3.36078,0,1,1,4,0
4lenses.data,0.1,0.025,0.508333,0.408333,0.4,0.191667,5,1,0,0,0,0,1,1,1,1,0.6,1,4,1
4MBA_ADMISSIONS.csv,0.0739958,0.0554213,0.992147,0.0697674,0.0472667,0.0445485,14,0.0714286,0.428571,0,0.5,0,2,15,6.64044,0,0.142857,1,4,0
4monks-1.test,0.00628307,0.00165344,0.492063,0.392857,0.321429,0.178571,7,0.857143,0,0,0,0.142857,1,1,1,1,0.428571,0,4,0
4nih_labels.csv,0.072381,0.064,0.396952,0.625619,0.0581905,0.0346667,21,0.0952381,0,0,0.238095,0.666667,1,16,3.47752,0.047619,0.761905,1,4,0
4Portuguese.csv,0.0104848,0.0029697,0.572727,0.126545,0.115879,0.0864242,33,0.484848,0,0,0.272727,0.242424,1,10,2.19958,0.424242,0.393939,1,4,0
4soybean-small.data,0.0449173,0.00650118,0.173168,0.500591,0.252955,0.135934,36,0.388889,0,0,0.027778,0.583333,1,2,1.02778,0.972222,0.75,1,4,0
4student-por.csv,0.0104848,0.0029697,0.572727,0.126545,0.115879,0.0864242,33,0.484848,0,0,0.272727,0.242424,1,10,2.19958,0.424242,0.393939,1,4,0
